feature,mutual_info
EMG_mean,0.7088255486607975
EMG_rms,0.690731472124712
EMG_energy,0.6877532702212226
EMG_std,0.6600757460807325
EMG_skew,0.6206105145301828
EMG_kurtosis,0.6125353308370447
GSR_foot_mean,0.5610527335941322
EMG_zero_crossings,0.5300583781682382
RR_mean,0.4991718852373441
HR_mean,0.4975127955519385
GSR_hand_mean,0.48298937146730814
GSR_foot_std,0.46390073893404327
RR_max,0.46144138052339767
RMSSD,0.45921176581018663
Resp_power,0.4540977645291875
GSR_foot_slope,0.4517971571907815
pNN50,0.4351401321118993
SDNN,0.3968274948717936
RR_std,0.3968274948717936
GSR_hand_slope,0.3707808641452617
GSR_hand_std,0.36948121705071246
LF_HF,0.3678975147142578
GSR_foot_peaks,0.2832741457230412
GSR_hand_peaks,0.17892259177616343
RR_min,0.04594329099659156
