component,explained_variance
PC1,0.3902365604862609
PC2,0.21191393459279906
PC3,0.1917967739019532
PC4,0.09245052714127432
PC5,0.03560559646553494
PC6,0.023203348066543467
PC7,0.014095300284794795
PC8,0.010281148980686373
PC9,0.007051599546745722
PC10,0.00628115524497632
PC11,0.004603790434938741
PC12,0.0036368597922335102
PC13,0.0026326790322074344
PC14,0.001954821056262349
PC15,0.0012924520057747153
PC16,0.0011655633068843518
PC17,0.0007818289923914709
PC18,0.0003340086186599834
PC19,0.00028172622684862365
PC20,0.00023424179914252944
