feature,importance
EMG_skew,0.09652452397198757
GSR_foot_mean,0.08977153190442837
EMG_zero_crossings,0.07337976483740849
EMG_kurtosis,0.06337524712432925
EMG_mean,0.059998787582424384
EMG_std,0.05521696570034809
EMG_energy,0.05279439744895943
EMG_rms,0.05181176653281903
GSR_hand_mean,0.04446725289582732
pNN50,0.03827710962159623
GSR_hand_std,0.03814246928516761
RMSSD,0.032979175144748345
LF_HF,0.032657814852767884
Resp_power,0.03155965782910129
RR_max,0.029598550229022642
HR_mean,0.025445071285997812
RR_mean,0.024757793920188773
GSR_foot_peaks,0.02337964839062904
RR_std,0.023329055751829742
SDNN,0.022472221227851176
GSR_foot_std,0.022304305216617394
GSR_hand_peaks,0.0222513234156064
GSR_hand_slope,0.020004033335956142
GSR_foot_slope,0.015312588867018863
RR_min,0.010188943627368677
